Correct	Eps	Cds	T
1	0.00644023384766701	1	0.710404872894287
1	0.0045279651829746	1	0.719194889068604
1	0.00827609270325325	1	0.728154897689819
1	-0.00549965884153059	0	0.700314998626709
1	0.00642960390138725	1	0.779255151748657
1	0.00793168762883711	1	0.707715034484863
1	0.00482516947638822	1	0.705151081085205
1	0.00429125161250721	1	0.725596189498901
1	0.00524349000385282	1	0.718859910964966
1	-0.0105975715481469	0	0.724462985992432
1	-0.0024924149715978	0	0.705445051193237
1	-0.0105082363925392	0	0.714251041412354
1	0.0117879869975306	1	0.723773002624512
1	0.00700204811737204	1	0.713864088058472
1	-0.00447758063994963	0	0.860002040863037
1	0.00884380577351318	1	0.717872858047485
1	-0.00433877510101699	0	0.703598976135254
1	0.00919530618851094	1	0.717620134353638
1	0.00841252045987351	1	0.709002017974854
1	0.0044131930372292	1	0.714956998825073
1	0.0100858778018563	1	0.710715055465698
1	-0.00813000961190091	0	0.70991587638855
1	0.00973546874974918	1	0.722105026245117
1	-0.00724511697104935	0	1.02626705169678
1	0.00639442053777162	1	0.724518060684204
1	0.00602250503669199	1	0.74622917175293
1	-0.00535954811028305	0	0.7569580078125
1	-0.00228169125084454	0	0.865917205810547
1	-0.00545894577957728	0	0.837841033935547
1	0.0042939739366239	1	0.795434951782227
1	-0.00512111564424045	0	0.784048795700073
1	0.00772604415973099	1	0.774286031723022
1	0.00756200893515946	1	0.77490496635437
1	-0.00407531336279676	0	0.808619022369385
1	0.0112231499122881	1	0.856106042861938
1	0.00745561130889216	1	0.806498050689697
1	-0.00862602115667377	0	0.795669078826904
1	0.00308193942240487	1	1.02277183532715
1	0.00845270438375467	1	0.767709016799927
1	-0.0126284617883973	0	0.809011936187744
1	-0.00460966578741129	0	0.792616128921509
1	-0.00821801274272493	0	0.794554948806763
1	-0.00444198364028459	0	0.789016008377075
1	-0.00673302919344654	0	0.808704853057861
1	0.00317953952732986	1	0.797393083572388
1	-0.00600206228393951	0	0.781949043273926
1	0.00681139607297199	1	0.774240970611572
1	-0.00324897167614979	0	0.757960081100464
1	0.00676854771257929	1	0.764709949493408
1	0.00889356594076807	1	0.805404901504517
1	0.0101633789567573	1	0.762606859207153
1	-0.0102760224967896	0	0.775709867477417
1	-0.00327396113681089	0	0.762093067169189
1	0.00436791626039523	1	0.796397924423218
1	0.00601472277469983	1	0.787966012954712
1	-0.0040723858023054	0	0.763095855712891
1	0.00792271199311134	1	0.754414081573486
1	0.0055678288098171	1	0.754917860031128
1	-0.00694723936564612	0	0.787425994873047
1	-0.00773227505833896	0	0.864702939987183
1	0.00882575303712552	1	0.844661951065063
1	-0.0138177187442311	0	0.863004922866821
1	0.0144787671487533	1	0.788173913955688
1	0.00312845454743194	1	0.792989015579224
1	-0.00754592690068678	0	0.767282009124756
1	-0.00597690765829995	0	0.831057071685791
1	0.0108181721493561	1	0.806761980056763
1	0.00709776823283947	1	0.77153205871582
1	0.00369828098725877	1	0.815347909927368
1	0.00877050049992867	1	0.80190896987915
1	0.00265454917995112	1	0.81690502166748
1	0.00823742037231712	1	0.722262144088745
1	0.00828566672879227	1	0.70704197883606
1	0.00192329132623148	1	0.779716014862061
1	0.00780032720224777	1	0.76802396774292
1	-0.00715803468770371	0	0.729278087615967
1	0.00576874967283592	1	0.730554819107056
1	-0.00600145284572551	0	0.718700885772705
1	-0.00359746951368356	0	0.716684103012085
1	0.00322511494238042	1	0.723278045654297
1	0.000883986941405235	1	0.744410037994385
1	0.00429357592369217	1	0.736208915710449
1	0.00905421276082363	1	0.733345031738281
1	0.00507607253801012	1	0.77670693397522
1	-0.00750226001807841	0	0.729613065719604
0	0.000396155172651902	1	0.724912881851196
1	-0.00237647583411138	0	0.719342947006226
1	0.0119508484258697	1	0.717402935028076
1	0.00574444380142747	1	0.725287914276123
1	0.00620565651636296	1	0.717178821563721
1	0.00847246997727746	1	0.721934795379639
1	0.00835074328632968	1	0.734148979187012
1	0.00530081855843889	1	0.734375
1	0.00941358070006015	1	0.961928129196167
1	-0.00998558877825828	0	0.823668003082275
1	0.00210923884163938	1	0.808192014694214
1	-0.00977441529269529	0	0.795166969299316
1	0.00678091344821252	1	0.765851974487305
1	-0.00681274808602172	0	0.795576095581055
1	-0.00610407729581497	0	0.800171852111816
